2023-10-07 20:27:52.990 [info] [Info  - 8:27:52 PM] (51153) Pylance language server 2023.10.10 (pyright 45942a15) starting
2023-10-07 20:27:53.070 [info] [Info  - 8:27:53 PM] (51153) Server root directory: /home/karuto/.vscode/extensions/ms-python.vscode-pylance-2023.10.10/dist
2023-10-07 20:27:53.104 [info] [Info  - 8:27:53 PM] (51153) Starting service instance "tflat_search-1"
2023-10-07 20:27:53.705 [info] [Info  - 8:27:53 PM] (51153) Setting pythonPath for service "tflat_search-1": "/bin/python"
2023-10-07 20:27:53.706 [info] [Info  - 8:27:53 PM] (51153) Setting environmentName for service "tflat_search-1": "3.11.5 (global)"
2023-10-07 20:27:53.711 [info] [Warn  - 8:27:53 PM] (51153) stubPath /home/karuto/tflat_search-1/typings is not a valid directory.
2023-10-07 20:27:57.691 [info] [Info  - 8:27:57 PM] (51153) Assuming Python version 3.11
2023-10-07 20:28:05.739 [info] [Info  - 8:28:05 PM] (51153) Found 1 source file
2023-10-07 20:28:40.640 [info] [Info  - 8:28:40 PM] (51153) [IDX(2)] Long operation: scan packages /home/karuto/tflat_search-1 (13041ms)
2023-10-07 20:28:47.992 [info] [Info  - 8:28:47 PM] (51153) [IDX(2)] Long operation: parsing: /usr/lib/python3.11/xml/__init__.py (6992ms)
2023-10-07 20:28:48.023 [info] [Info  - 8:28:48 PM] (51153) [BG(1)] Long operation: parsing: /home/karuto/tflat_search-1/dict.py (21142ms)
2023-10-07 20:28:48.464 [info] [Info  - 8:28:48 PM] (51153) [IDX(2)] Long operation: indexing: /usr/lib/python3.11/xml/__init__.py (7466ms)
2023-10-07 20:28:50.516 [info] [Info  - 8:28:50 PM] (51153) [BG(1)] Long operation: analyzing: /home/karuto/tflat_search-1/dict.py (23598ms)
2023-10-07 20:28:51.926 [info] [Info  - 8:28:51 PM] (51153) [IDX(2)] Long operation: index execution environment /home/karuto/tflat_search-1 (11022ms)
2023-10-07 20:28:51.928 [info] [Info  - 8:28:51 PM] (51153) [IDX(2)] Long operation: index packages /home/karuto/tflat_search-1 (11186ms)
2023-10-07 21:01:21.254 [info] [Info  - 9:01:21 PM] (51153) Found 2 source files
2023-10-07 21:01:52.368 [info] [Info  - 9:01:52 PM] (51153) [FG] Long operation: parsing: /home/karuto/tflat_search-1/dict copy.py (28739ms)
2023-10-07 21:01:52.870 [info] [Info  - 9:01:52 PM] (51153) [BG(1)] Long operation: parsing: /home/karuto/tflat_search-1/dict.py (31087ms)
2023-10-07 21:01:53.652 [info] [Info  - 9:01:53 PM] (51153) [BG(1)] Long operation: analyzing: /home/karuto/tflat_search-1/dict.py (32395ms)
2023-10-07 21:04:16.610 [info] [Info  - 9:04:16 PM] (51153) Found 1 source file
2023-10-07 21:04:33.570 [info] [Info  - 9:04:33 PM] (51153) [BG(1)] Long operation: parsing: /home/karuto/tflat_search-1/dict.py (16957ms)
2023-10-07 21:04:34.898 [info] [Info  - 9:04:34 PM] (51153) [BG(1)] Long operation: analyzing: /home/karuto/tflat_search-1/dict.py (18288ms)
