[2023-10-01 21:54:20.695] [info] { level: 'info', from: 'AssetCache', type: 'checkingForAppUpdate' }
[2023-10-01 21:55:06.584] [info] { level: 'info', from: 'AssetCache', type: 'checkingForAppUpdate' }
[2023-10-01 21:56:28.876] [info] { level: 'info', from: 'AssetCache', type: 'checkingForAppUpdate' }
[2023-10-03 15:30:07.738] [info] { level: 'info', from: 'AssetCache', type: 'checkingForAppUpdate' }
[2023-10-04 17:17:58.708] [info] { level: 'info', from: 'AssetCache', type: 'checkingForAppUpdate' }
[2023-10-16 16:14:50.100] [info] { level: 'info', from: 'AssetCache', type: 'checkingForAppUpdate' }
[2023-10-18 14:52:01.849] [info] { level: 'info', from: 'AssetCache', type: 'checkingForAppUpdate' }
[2023-10-18 14:52:50.763] [info] { level: 'info', from: 'AssetCache', type: 'checkingForAppUpdate' }
[2023-10-18 14:52:56.929] [info] { level: 'info', from: 'AssetCache', type: 'checkingForAppUpdate' }
[2023-10-18 14:53:15.680] [info] { level: 'info', from: 'AssetCache', type: 'checkingForAppUpdate' }
[2023-10-18 14:53:21.813] [info] { level: 'info', from: 'AssetCache', type: 'checkingForAppUpdate' }
[2023-10-18 14:55:49.540] [info] { level: 'info', from: 'AssetCache', type: 'checkingForAppUpdate' }
[2023-10-18 21:20:04.970] [info] { level: 'info', from: 'AssetCache', type: 'checkingForAppUpdate' }
[2023-10-18 21:20:13.768] [info] { level: 'info', from: 'AssetCache', type: 'checkingForAppUpdate' }
[2023-10-22 08:47:48.846] [info] { level: 'info', from: 'AssetCache', type: 'checkingForAppUpdate' }
[2023-10-22 08:47:54.835] [info] { level: 'info', from: 'AssetCache', type: 'checkingForAppUpdate' }
[2023-10-22 08:50:10.486] [info] { level: 'info', from: 'AssetCache', type: 'checkingForAppUpdate' }
[2023-10-22 09:15:28.149] [info] { level: 'info', from: 'AssetCache', type: 'checkingForAppUpdate' }
[2023-10-22 09:15:53.946] [info] { level: 'info', from: 'AssetCache', type: 'checkingForAppUpdate' }
